Title	URL	Assignees	Status	Estimated size	Real size	Labels	Merge Status	Priority
Documentation on Codebook Generation & Application	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/201		Product Backlog			Check weekly		
View Demographic Data Statistics	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/221		Product Backlog			Corpus View		
Homework Project Report (POs)	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/188		Product Backlog			Homework Deliverable		
Post-Analysis Natural Language Querying	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/88		Product Backlog			System / AI Processing		
Final Project Release Plan (PO work)	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/193		Sprint Backlog			Homework Deliverable		
Wrong declarationof multiple file upload in corpus/upload router	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/111	julianlucawendlandt-jpg	Sprint Backlog					
Quotes not displayed for codes	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/235	hrasul	Sprint Backlog					
Unified frontend	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/260	annus3	In Progress	5		Codebook, Corpus View, Interview View, Sprint 13		
Demo video (PO work)	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/190	fdesafilho	In Progress			Homework Deliverable		
Final Release Documentation (SD work)	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/191		In Progress			Homework Deliverable		
Fix Codes not Being Applied to Transcripts	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/259	ClimbTheGrind, paulKlarer	Awaiting Review			Analysis, Sprint 13	Merged	High Priority
Auto-select Analysis Run on Transcript View	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/254	ClimbTheGrind	Awaiting Review	1		Analysis, Sprint 13	Merged	High Priority
Set Parameters for Automatic Generation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/253	ClimbTheGrind, julianlucawendlandt-jpg	Awaiting Review	5		Codebook, Sprint 13	Merged	High Priority
Bug: Codebook Generation Automatically Triggers Analysis	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/263	hrasul	Awaiting Review				Merged	High Priority
Failed Automatic Codebook Generation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/250	julianlucawendlandt-jpg	Awaiting Review				Merged	High Priority
Binning of Numerical Variables on Demographic Breakdown	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/229	hrasul	Awaiting Review	3		Analysis, Sprint 13	Merged	
Handle overlapping Quotes	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/255	slnkahveci	Awaiting Review	2		Analysis, Sprint 13		
Coverage Color Scheme and Percentage Precision	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/261	annus3	Awaiting Review	1		Analysis, Sprint 13		
Add Generation Time for Codebooks and Analysis Runs	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/265	ClimbTheGrind	Awaiting Review			Analysis, Sprint 13	Merged	
Update Progress Bar	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/258	ClimbTheGrind, paulKlarer	Awaiting Review	5		Analysis, Codebook, Sprint 13	Merged	
Codebook Generation does not use all transcripts in corpus	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/252		Awaiting Review			Codebook, Sprint 13		
Create New Corpus on Transcripts Page	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/256	ClimbTheGrind, paulKlarer	Awaiting Review			Corpus Management, Sprint 13	Merged	
Final Release Legal Notices (SD work)	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/192	Wecoreator	Awaiting Review			Homework Deliverable	Merged	
Task: Allow selection for embedding models aswell	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/237	paulKlarer, Wecoreator	Awaiting Review			Sprint 12	Merged	
Fix highlighting logic in read.html	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/285	slnkahveci	Awaiting Review			Sprint 13	Merged	
Entering codebook manually is unreachable	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/277	slnkahveci	Awaiting Review			Sprint 13	Merged	
Transcript read view silently drops partially-overlapping quote highlights	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/280	slnkahveci	Awaiting Review			Sprint 13	Merged	
Remove Redundant Table on Demographic Viewer	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/257	ClimbTheGrind	Awaiting Review	1		Sprint 13	Merged	
Quotes Box	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/227	annus3	Feature Archive	2	2	Analysis, Sprint 12	Merged	High Priority
Merge Theme Frequency and Theme Hierarchy Boxes	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/226	annus3	Feature Archive	3	3	Analysis, Sprint 12	Merged	High Priority
External LLM API Usage Documentation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/223	ClimbTheGrind, paulKlarer	Feature Archive	2	2	Analysis, Sprint 12	Merged	High Priority
Display Input/Output LLM Token Usage.	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/224	ClimbTheGrind, paulKlarer	Feature Archive	3	3	Analysis, Sprint 12	Merged	High Priority
Drill Down into a Theme	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/15	julianlucawendlandt-jpg, Wecoreator	Feature Archive	8	5	Corpus View, Sprint 10	Merged	High Priority
